ID,ant,alpha,beta,rho,elite,limit,distance
25,50,0,8,0.8,0.6,500,3346
26,50,0,8,0.8,0.6,500,3346
27,50,0,8,0.8,0.6,500,3336
28,50,0,8,0.8,0.6,500,3359
29,50,0,8,0.8,0.6,500,3369
,50,0,8,0.8,0.6,500,3354
0,50,0,9,0.8,0.6,500,3371
1,50,0,9,0.8,0.6,500,3371
2,50,0,9,0.8,0.6,500,3371
3,50,0,9,0.8,0.6,500,3371
4,50,0,9,0.8,0.6,500,3369
5,50,0,9,0.8,0.6,500,3346
6,50,0,9,0.8,0.6,500,3336
7,50,0,9,0.8,0.6,500,3371
8,50,0,9,0.8,0.6,500,3336
9,50,0,9,0.8,0.6,500,3371
10,50,0,9,0.8,0.6,500,3371
11,50,0,9,0.8,0.6,500,3336
12,50,0,9,0.8,0.6,500,3371
13,50,0,9,0.8,0.6,500,3359
14,50,0,9,0.8,0.6,500,3371
15,50,0,9,0.8,0.6,500,3371
16,50,0,9,0.8,0.6,500,3371
17,50,0,9,0.8,0.6,500,3371
18,50,0,9,0.8,0.6,500,3346
19,50,0,9,0.8,0.6,500,3346
20,50,0,9,0.8,0.6,500,3346
21,50,0,9,0.8,0.6,500,3371
22,50,0,9,0.8,0.6,500,3371
23,50,0,9,0.8,0.6,500,3336
24,50,0,9,0.8,0.6,500,3371
25,50,0,9,0.8,0.6,500,3359
26,50,0,9,0.8,0.6,500,3346
27,50,0,9,0.8,0.6,500,3371
28,50,0,9,0.8,0.6,500,3346
29,50,0,9,0.8,0.6,500,3371
,50,0,9,0.8,0.6,500,3360
0,50,7,7,0.8,0.6,500,3346
1,50,7,7,0.8,0.6,500,3346
2,50,7,7,0.8,0.6,500,3369
3,50,7,7,0.8,0.6,500,3336
4,50,7,7,0.8,0.6,500,3346
5,50,7,7,0.8,0.6,500,3336
6,50,7,7,0.8,0.6,500,3369
7,50,7,7,0.8,0.6,500,3336
8,50,7,7,0.8,0.6,500,3369
9,50,7,7,0.8,0.6,500,3346
